上映日期,中文片名,銷售票數
2021-11-05,地球迷航,2438
2021-11-12,詭扯,40768
2021-11-19,金錢男孩MONEYBOYS,3840
2021-11-19,青春弒戀,6978
2021-11-24,月老,891274
2021-11-26,魔法阿媽 4K數位修復版,7654
