國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
南韓,刑警沒有假期,2020/10/08,53,"4,796","1,090,996","15,669","3,663,089"
中華民國,千年一問,2020/10/08,28,"3,999","931,743","7,348","1,727,644"
美國,愛情列車長,2020/10/08,11,422,"86,015",947,"193,297"
美國,皮爾卡登：迷戀未來的人,2020/10/08,14,245,"50,420",655,"137,658"
南韓,辛比的怪怪屋 劇場版：幽靈獵人 天空大進擊,2020/10/08,45,132,"27,130","1,228","272,556"
美國,恐怖份子製造國度,2020/10/08,3,39,"8,725",115,"28,115"
美國,異星物語,2020/10/08,3,31,"6,670",85,"18,895"
日本,《少女與戰車 最終章》第1+2話,2020/10/07,6,"2,741","1,259,625","7,309","3,365,534"
英國,英國國家美術館：高更特展,2020/10/04,6,64,"21,860",64,"21,860"
中華民國,刻在你心底的名字,2020/09/30,103,"67,828","15,921,053","295,387","69,144,950"
日本,紫羅蘭永恆花園電影版,2020/09/30,42,"15,238","3,791,707","93,904","23,347,893"
美國,阿公當家,2020/09/30,88,"8,492","1,947,400","69,483","15,975,158"
俄羅斯,遺落夢境,2020/09/30,50,"2,692","650,215","38,459","9,216,377"
法國,森林特攻隊：大腳丫家族,2020/09/30,63,"2,040","447,046","20,429","4,494,107"
德國,交響狂人,2020/09/30,11,421,"86,420","3,228","677,176"
美國,特斯拉,2020/09/30,40,345,"76,255","10,470","2,381,485"
美國,捉魂鏡,2020/09/30,14,198,"44,770","3,954","909,184"
義大利,解密達文西,2020/09/30,4,62,"12,060","1,163","249,833"
中華民國,明晚空中見,2020/09/30,3,13,"2,990",702,"144,720"
日本,電影哆啦A夢：大雄的新恐龍,2020/09/25,55,"14,333","3,348,326","142,305","33,441,935"
美國,法蒂瑪的奇蹟,2020/09/25,7,659,"143,820","7,221","1,550,439"
巴西,殺戮荒村,2020/09/25,4,80,"18,010","3,675","850,427"
中華民國,消失的情人節,2020/09/18,92,"10,555","2,465,064","88,659","20,523,312"
南韓,整容液,2020/09/18,35,"2,143","510,263","67,163","16,079,743"
南韓,名偵探奶奶,2020/09/18,5,206,"44,300","6,611","1,466,228"
法國,寂寞調香師,2020/09/18,2,58,"12,715","1,120","247,215"
英國,皮諾丘的奇幻旅程,2020/09/18,1,43,"9,645","6,813","1,563,748"
中華民國,惡之畫,2020/09/18,5,43,"9,620","2,518","540,721"
美國,重裝救援：全境獵殺,2020/09/18,3,12,"2,400","22,212","5,153,455"
日本,《少女與戰車 最終章》第２話,2020/09/18,1,1,220,"2,044","508,752"
香港,麥路人,2020/09/17,10,149,"33,730","16,625","3,751,121"
中華民國,海霧,2020/09/17,11,73,"16,390","49,835","11,362,863"
日本,蠟筆小新電影 激戰!塗鴉王國與差不多四勇者,2020/09/11,36,"1,755","393,785","68,208","15,622,741"
南韓,特務搞飛機,2020/09/11,37,946,"215,420","112,684","26,572,713"
巴西,中央車站:數位修復版,2020/09/11,5,241,"52,410","6,667","1,477,920"
英國,教會,2020/09/11,3,74,"16,150","5,460","1,198,839"
中國大陸,怪物先生,2020/09/11,2,62,"9,920","1,289","285,377"
美國,密弒直播,2020/09/11,2,30,"6,070","13,742","3,092,502"
日本,小偷演員,2020/09/11,1,10,"2,395",374,"91,235"
中華民國,本來面目,2020/09/05,19,"2,290","498,510","34,343","7,699,752"
美國,花木蘭,2020/09/04,50,775,"177,410","308,785","71,975,730"
法國,完美嬌妻養成班,2020/09/04,2,56,"8,960","1,054","235,030"
日本,我是大哥大!!劇場版,2020/09/04,2,9,"2,170","5,036","1,202,973"
日本,戀愛與謊言,2020/09/04,1,5,930,221,"53,478"
中國大陸,蘇州河,2020/08/28,4,109,"23,810","8,498","1,916,956"
英國,美麗佳人歐蘭朵 跨世紀重映,2020/08/28,2,91,"8,370","3,077","635,283"
美國,TENET天能,2020/08/27,96,"20,018","5,103,731","1,360,360","343,618,493"
新加坡,初心,2020/08/21,7,929,"196,210","44,496","10,287,981"
日本,最後的情書,2020/08/21,3,220,"16,840","3,744","832,014"
中華民國,馗降：粽邪2,2020/08/20,71,"4,771","1,066,998","313,454","71,207,105"
日本,Fate_stay night [Heaven's Feel] Ⅲ春櫻之歌,2020/08/15,1,62,"16,303","91,160","25,074,344"
中華民國,逃出立法院,2020/08/14,3,82,"10,530","18,810","4,175,969"
美國,天劫倒數,2020/08/12,2,25,"5,420","362,327","87,246,787"
中華民國,哈囉少女,2020/08/07,3,122,"12,640","23,494","5,339,272"
義大利,隱藏的畫家,2020/08/07,2,130,"6,760","2,857","581,097"
中華民國,怪胎,2020/08/05,12,194,"45,998","193,016","44,892,581"
德國,北海小英雄,2020/07/31,5,279,"19,760","49,498","10,695,054"
南韓,雙面追緝,2020/07/31,2,145,"10,765","2,700","440,296"
南韓,鋼鐵雨：深潛行動,2020/07/29,8,653,"55,610","87,088","19,508,549"
南韓,魔王的女兒,2020/07/24,2,137,"7,120","10,469","2,264,921"
英國,戀夏時光,2020/07/24,3,98,"6,995","4,429","837,921"
泰國,淒厲人僧 前傳,2020/07/24,1,24,"3,840","9,940","2,050,543"
日本,小路與我的秘密驛站,2020/07/24,1,10,"1,400",529,"97,516"
南韓,翻供,2020/07/22,7,"1,276","98,310","161,344","36,901,654"
日本,藍色恐懼：數位修復版,2020/07/17,2,47,"7,070","37,817","8,961,801"
中華民國,打噴嚏,2020/07/14,6,348,"27,485","204,747","47,060,318"
不丹,不丹是教室,2020/07/10,1,304,"65,360","32,756","7,292,186"
日本,角落小夥伴電影版：魔法繪本裡的新朋友,2020/07/03,10,153,"37,410","342,724","80,027,654"
香港,死因無可疑,2020/07/03,1,29,"3,090","14,998","3,311,367"
美國,頭號粉絲,2020/07/03,1,23,"2,530","2,093","358,309"
英國,樂在當下,2020/07/02,6,43,"31,360",395,"279,440"
日本,福島50英雄,2020/06/24,2,124,"15,940","21,240","4,571,918"
美國,72小時前哨救援,2020/06/24,1,80,"8,910","76,628","17,052,889"
伊朗,親愛的小孩,2020/06/24,1,84,"7,300","1,765","361,665"
英國,玩命Online：雙槍對決,2020/06/24,3,78,"6,655","9,292","1,922,728"
