國別地區,中文片名,上映日期,上映院數,銷售票數,銷售金額,累計銷售票數,累計銷售金額
中華民國,揭大歡喜,2021/03/12,1,5,"1,100","10,008","2,285,156"
中華民國,東經北緯,2021/03/05,4,316,"67,740","12,824","3,021,438"
中華民國,聽見臺灣,2021/03/05,2,52,"10,875","2,537","532,775"
中華民國,跟你老婆去旅行,2021/02/10,4,316,"22,845","55,745","13,098,840"
中華民國,角頭－浪流連,2021/02/05,7,77,"17,330","683,214","161,725,715"
中華民國,緝魂,2021/01/29,7,544,"45,910","213,389","50,676,219"
中華民國,親愛的房客,2020/10/23,1,25,"2,750","164,291","38,726,892"
中華民國,馗降：粽邪2,2020/08/20,1,250,"47,500",580,"120,100"
中華民國,逃出立法院,2020/08/14,74,"2,242","509,623","18,116","4,074,619"
中華民國,我的兒子是死刑犯,2020/08/14,16,860,"185,375","3,693","829,030"
中華民國,哈囉少女,2020/08/07,47,"1,018","238,902","22,632","5,240,327"
中華民國,逆者,2020/08/07,2,201,"40,825","1,753","368,735"
中華民國,怪胎,2020/08/05,97,"37,312","8,703,777","170,069","39,496,978"
中華民國,阿紫,2020/07/31,6,40,"9,777","1,309","291,488"
中華民國,打噴嚏,2020/07/14,18,236,"55,910","202,572","46,889,758"
中華民國,破處,2020/07/03,2,217,"11,330","67,247","12,607,980"
中華民國,驚夢49天,2020/06/24,1,52,"7,660","19,242","4,372,695"
中華民國,老娘就要這麼活,2020/05/08,1,43,"9,460","2,701","607,406"
中華民國,可不可以，你也剛好喜歡我,2020/03/12,101,"137,947","32,157,163","225,551","52,543,936"
中華民國,返校,2019/09/20,100,"146,030","34,122,947","1,037,031","242,585,617"
中華民國,與失智共舞,2019/09/20,1,375,"81,470",943,"203,175"
中華民國,我親愛的父親,2019/09/20,9,339,"73,720","1,194","259,879"
中華民國,未來無恙,2019/08/30,1,103,"22,660","5,060","1,091,838"
中華民國,第九分局,2019/08/29,23,708,"162,678","247,220","56,608,057"
中華民國,下半場,2019/08/23,2,118,"28,605","99,405","22,641,201"
中華民國,緝魔,2019/08/16,5,534,"40,210","50,130","11,255,834"
中華民國,灼人秘密,2019/07/19,3,245,"14,520","31,750","7,333,329"
中華民國,馗降：粽邪2,2020/08/20,100,"111,565","25,378,939","112,145","25,499,039"
中華民國,我的兒子是死刑犯,2020/08/14,8,587,"120,085","4,280","949,115"
中華民國,逃出立法院,2020/08/14,23,237,"54,080","18,353","4,128,699"
中華民國,哈囉少女,2020/08/07,9,123,"39,410","22,755","5,279,737"
中華民國,怪胎,2020/08/05,91,"13,980","3,277,597","184,049","42,774,575"
中華民國,阿紫,2020/07/31,4,14,"3,960","1,323","295,448"
中華民國,野雀之詩,2020/07/24,1,133,"24,605","1,504","326,405"
中華民國,打噴嚏,2020/07/14,1,2,440,"202,574","46,890,198"
中華民國,破處,2020/07/03,2,85,"4,520","67,332","12,612,500"
中華民國,驚夢49天,2020/06/24,1,31,"4,620","19,273","4,377,315"
中華民國,老娘就要這麼活,2020/05/08,1,2,620,"2,703","608,026"
中華民國,可不可以，你也剛好喜歡我,2020/03/12,100,"54,391","12,623,791","279,942","65,167,727"
中華民國,美國女孩,2021/12/3,78,"25,980","6,147,472","50,389","11,999,270"
中華民國,詭祭,2021/12/3,13,"1,158","272,282","2,602","636,141"
中華民國,生而為人,2021/12/3,13,228,"52,923","1,556","352,537"
中華民國,魔法阿媽 4K數位修復版,2021/11/26,39,"2,764","650,571","12,888","3,074,609"
中華民國,阿查依蘭的呼喚,2021/11/26,9,196,"45,010","1,586","358,705"
中華民國,月老,2021/11/24,102,"218,254","53,367,602","694,772","168,865,677"
中華民國,青春弒戀,2021/11/19,28,808,"198,709","15,685","3,794,016"
中華民國,金錢男孩MONEYBOYS,2021/11/19,10,486,"83,492","8,538","1,965,950"
中華民國,真相地圖,2021/11/19,2,361,"57,760","1,474","235,620"
中華民國,詭扯,2021/11/12,43,"2,922","706,165","59,343","14,322,456"
中華民國,文林銀行,2021/11/12,2,321,"74,105","1,585","363,495"
中華民國,地球迷航,2021/11/5,3,203,"52,510","6,239","1,423,854"
中華民國,瀑布,2021/10/29,88,"17,518","4,096,217","140,881","33,452,802"
中華民國,老鷹之手,2021/10/29,2,86,"17,820","5,509","1,217,570"
中華民國,回眸,2021/10/22,1,32,"7,360","5,522","1,243,854"
中華民國,鱷魚,2021/10/8,1,62,"9,200","11,565","2,720,264"
中華民國,期末考,2021/8/20,1,175,"33,250","5,204","1,109,542"
中華民國,聽見歌 再唱,2021/4/16,5,380,"81,340","362,942","83,993,394"
中華民國,緝魂,2021/1/29,1,252,"51,660","215,231","50,860,209"
中華民國,重甲機神：神降臨,2019/11/08,35,"2,229","513,930","6,570","1,523,608"
中華民國,樂園,2019/11/08,28,"9,460","1,993,240","16,012","3,408,142"
中華民國,陽光普照,2019/11/01,42,"13,686","3,258,810","46,740","11,086,904"
中華民國,傻傻愛你，傻傻愛我,2019/11/01,62,"4,868","1,096,508","39,826","8,942,864"
中華民國,陪你很久很久,2019/10/25,33,"3,445","795,248","55,181","12,606,289"
中華民國,Thunderbolt Fantasy 西幽玹歌,2019/10/25,19,"1,312","310,487","18,044","4,257,268"
中華民國,聖人大盜,2019/10/18,13,935,"211,198","34,798","8,007,411"
中華民國,盲人律師,2019/10/18,9,762,"166,655","22,674","4,967,001"
中華民國,江湖無難事,2019/10/09,2,113,"21,820","40,737","9,050,548"
中華民國,返校,2019/09/20,23,"1,021","241,949","1,106,404","258,786,486"
中華民國,我親愛的父親,2019/09/20,1,200,"44,000","1,465","319,159"
中華民國,與失智共舞,2019/09/20,1,200,"44,000","1,197","258,695"
中華民國,未來無恙,2019/08/30,1,36,"7,920","5,752","1,246,158"
中華民國,下半場,2019/08/23,5,388,"55,560","100,397","22,795,211"
中華民國,驚夢49天,2020/06/24,30,"4,637","1,056,474","15,906","3,614,399"
中華民國,媽！我阿榮啦,2020/06/19,12,474,"113,270","3,693","897,963"
中華民國,蚵豐村,2020/06/05,3,123,"28,395","4,680","1,059,343"
中華民國,老娘就要這麼活,2020/05/08,2,263,"60,520","2,381","532,956"
中華民國,練愛iNG,2020/03/13,1,20,"2,900","39,634","9,099,379"
中華民國,女鬼橋,2020/02/27,2,106,"6,760","253,134","58,089,505"
中華民國,盲人律師,2019/10/18,1,93,"18,600","28,514","6,243,346"
中華民國,恐怖份子,2017/08/04,3,132,"28,890",303,"64,725"
中華民國,青梅竹馬,2017/07/24,1,28,"6,660","6,493","1,407,652"
中華民國,海灘的一天,2017/07/14,3,100,"21,440","5,424","1,219,120"
中華民國,牯嶺街少年殺人事件,2016/11/11,3,133,"31,925","11,585","2,803,853"
中華民國,紅衣小女孩,2015/11/27,1,0,0,155,"39,635"
中華民國,屍憶,2015/08/20,10,355,"86,631",766,"191,476"
中華民國,愛別離苦,2022/02/18,8,185,"42,916","5,909","1,304,157"
中華民國,我吃了那男孩一整年的早餐,2022/01/28,77,"8,142","1,931,161","292,299","70,623,947"
中華民國,素還真,2022/01/28,18,537,"125,899","93,785","22,356,034"
中華民國,諸葛四郎─英雄的英雄,2022/01/28,2,17,"3,945","7,364","1,708,350"
中華民國,妖果小學─水果奶奶的大秘密,2022/01/21,1,9,"2,238","5,029","1,173,495"
中華民國,一杯熱奶茶的等待,2021/12/24,3,179,"12,695","37,514","9,084,674"
中華民國,高山上的熱氣球,2021/12/22,1,81,"18,630",657,"141,740"
中華民國,美國女孩,2021/12/03,5,111,"13,085","81,794","19,246,741"
中華民國,月老,2021/11/24,7,444,"107,639","1,087,464","263,959,226"
中華民國,青春弒戀,2021/11/19,1,14,"1,960","16,112","3,878,296"
中華民國,瀑布,2021/10/29,1,43,"4,690","154,742","36,450,048"
中華民國,一家之主,2020/10/07,4,806,"177,320","1,241","276,625"
中華民國,最是橙黃橘綠時,2019/03/15,10,504,"114,620","1,240","286,084"
中華民國,乳‧房,2019/03/08,14,369,"81,410","5,204","1,158,128"
中華民國,一吻定情,2019/02/14,40,739,"164,556","107,639","24,575,930"
中華民國,大三元,2019/02/01,1,300,"63,000","105,104","23,538,522"
中華民國,丈夫的秘密,2019/01/26,1,1,150,1,150
中華民國,後勁：王建民,2018/12/14,1,112,"26,880","26,852","6,210,078"
中華民國,我們的青春，在台灣,2018/11/25,1,36,"7,780","1,028","227,300"
中華民國,人面魚紅衣小女孩外傳,2018/11/23,2,112,"10,580","328,367","73,072,985"
中華民國,比悲傷更悲傷的故事,2018/11/18,10,"2,408","173,250","1,044,256","240,005,050"
中華民國,同學會來嗎,2018/11/02,1,30,"6,600","1,397","308,975"
中華民國,疾風魅影-黑貓中隊,2018/10/26,1,114,"22,960","16,986","3,629,908"
中華民國,頭七,2022/04/01,86,"12,035","2,826,824","103,820","24,578,340"
中華民國,野夏天,2022/03/25,9,93,"20,870","7,939","1,889,479"
中華民國,咒,2022/03/18,91,"39,620","9,562,702","668,706","160,109,139"
中華民國,少年吔,2022/03/18,45,"2,830","683,855","131,766","31,195,911"
中華民國,願未央,2022/03/18,3,40,"9,020","2,763","596,903"
